"TEXT","DISEASE","TREATMENT"
"To study the safety and efficacy of methylphenidate in children with the dual diagnosis of epilepsy and attention deficit hyperactivity disorder ( ADHD ) .","['epilepsy', 'attention deficit hyperactivity disorder ( ADHD )']","['methylphenidate']"
"Methylphenidate is effective in treating children with epilepsy and ADHD and safe in children who are seizure free .","['epilepsy', 'ADHD']","['Methylphenidate']"
"Antiplatelet therapy with aspirin and systematic anticoagulation with warfarin reduce cardiovascular morbidity and mortality after myocardial infarction when given alone .","['cardiovascular morbidity and mortality after myocardial infarction']","['Antiplatelet therapy with aspirin and systematic anticoagulation with warfarin']"
"At 293 sites , we randomly assigned 8803 patients who had had myocardial infarction , treatment with 160 mg aspirin , 3 mg warfarin with 80 mg aspirin , or 1 mg warfarin with 80 mg aspirin .","['myocardial infarction']","['160 mg aspirin', '3 mg warfarin with 80 mg aspirin', '1 mg warfarin with 80 mg aspirin']"
"Low , fixed-dose warfarin ( 1 mg or 3 mg ) combined with low-dose aspirin ( 80 mg ) in patients who have had myocardial infarction does not provide clinical benefit beyond that achievable with 160 mg aspirin monotherapy .","['myocardial infarction']","['warfarin ( 1 mg or 3 mg ) combined with low-dose aspirin ( 80 mg )', 'aspirin monotherapy']"
"The effect of roxithromycin was assessed in a double-blind , randomised , prospective , multicentre , parallel-group , placebo-controlled pilot study of 202 patients with unstable angina or non-Q-wave myocardial infarction .","['unstable angina', 'non-Q-wave myocardial infarction']","['roxithromycin']"
"Antichlamydial antibiotics may be useful in therapeutic intervention in addition to standard medication in patients with coronary-artery disease .","['coronary-artery disease']","['Antichlamydial antibiotics']"
"Stage Ib and IIa cervical carcinoma can be cured by radical surgery or radiotherapy .","['Stage Ib and IIa cervical carcinoma']","['radical surgery', 'radiotherapy']"
"This study is designed to investigate the immediate effectiveness of electrotherapy on myofascial trigger points of upper trapezius muscle .","['myofascial trigger points of upper trapezius muscle']","['electrotherapy']"
"It is concluded that ENS is more effective for immediate relief of myofascial trigger point pain than EMS , and EMS has a better effect on immediate release of muscle tightness than ENS .","['myofascial trigger point pain', 'muscle tightness']","['ENS', 'EMS', 'EMS', 'ENS']"
"Obesity is an important clinical problem , and the use of dexfenfluramine hydrochloride for weight reduction has been widely publicized since its approval by the Food and Drug Administration .","['Obesity']","['dexfenfluramine hydrochloride']"
"The manufacturer claims that moxonidine `` accurately targets imidazoline receptors at the cardiovascular control centre in the brainstem '' and is `` as effective as current first-line therapies for essential hypertension `` .","['essential hypertension']","['moxonidine']"
"In order to evaluate the applicability of anthelminthic treatment of wild foxes ( Vulpes vulpes ) to limit their infection with Echinococcus multilocularis , bait pellets , each containing 50 mg praziquantel , were repeatedly distributed in an area of 566 km2 where many foxes are infected , in southern Germany .","['infection with Echinococcus multilocularis']","['anthelminthic treatment', 'praziquantel']"
"We assessed G-CSF as adjuvant therapy for the treatment of severe foot infections in diabetic patients .","['severe foot infections in diabetic patients']","['G-CSF']"
"G-CSF treatment was associated with improved clinical outcome of foot infection in diabetic patients .","['foot infection in diabetic patients']","['G-CSF treatment']"
"Accelerated infusion of alteplase ( tissue plasminogen activator ) over a period of 90 minutes induces more rapid lysis of coronary-artery thrombi than a 3-hour infusion .","['coronary-artery thrombi']","['Accelerated infusion of alteplase ( tissue plasminogen activator )']"
"In 398 hospitals , 7169 patients with acute myocardial infarction were randomly assigned to weight-adjusted , accelerated infusion of 100 mg of alteplase or to a bolus of 50 mg of alteplase over a period of 1 to 3 minutes followed 30 minutes later by a second bolus of 50 mg ( or 40 mg for patients who weighed less than 60 kg ) .","['acute myocardial infarction']","['alteplase', 'alteplase']"
"Successful arthrodesis was achieved in all five feet in patients with rheumatoid arthritis .","['rheumatoid arthritis']","['arthrodesis']"
"A prospective , randomized , placebo-controlled , double-blind , parallel-group , 6-month study assessed the efficacy and safety of ropinirole , a nonergoline D2-dopamine agonist , in patients with early Parkinson 's disease ( n = 241 ; Hoehn & # 38 ; Yahr stages I to III ) with limited or no prior dopaminergic therapy .","[""early Parkinson 's disease""]","['ropinirole , a nonergoline D2-dopamine agonist', 'dopaminergic therapy']"
"Ropinirole monotherapy is an effective and well-tolerated therapeutic option for treatment of early Parkinson 's disease .","[""early Parkinson 's disease""]","['Ropinirole monotherapy']"
"We reviewed the charts of 20 eyes of 15 children ( aged 1.5 to 2 years ) who had primary cataract surgery with PC IOL implantation during the past 5 years .","['cataract']","['surgery with PC IOL implantation']"
"To assess the medicalising effect of prescribing antibiotics for sore throat .","['sore throat']","['antibiotics']"
"Randomised trial of three approaches to sore a 10 day prescription of antibiotics , no antibiotics , or a delayed prescription if the sore throat had not started to settle after three days .","['sore throat', 'sore throat']","['antibiotics']"
"Antibiotics prescribed for sore throat during the previous year had an additional effect ( hazard ratio 1.69 , 1.20 to 2.37 ) .","['sore throat']","['Antibiotics']"
"Complications and early return resulting from no or delayed prescribing of antibiotics for sore throat are rare .","['sore throat']","['antibiotics']"
"This study was designed to determine and compare the dose-response characteristics , speed of onset , and relative potency of single-dose epidural fentanyl ( F ) and sufentanil ( S ) for postoperative pain relief .","['postoperative pain relief']","['epidural fentanyl ( F )', 'sufentanil ( S )']"
"The American Urological Association convened the Female Stress Urinary Incontinence Clinical Guidelines Panel to analyze the literature regarding surgical procedures for treating stress urinary incontinence in the otherwise healthy female subject and to make practice recommendations based on the treatment outcomes data .","['Female Stress Urinary Incontinence', 'stress urinary incontinence']","['surgical procedures']"
"MATERIALS AND The panel searched the MEDLINE data base for all articles through 1993 on surgical treatment of female stress urinary incontinence .","['female stress urinary incontinence']","['surgical treatment']"
"The panel found sufficient acceptable long-term outcomes data ( longer than 48 months ) to conclude that surgical treatment of female stress urinary incontinence is effective , offering a long-term cure in a significant percentage of women .","['female stress urinary incontinence']","['surgical treatment']"
"The evidence supports surgery as initial therapy and as a secondary form of therapy after failure of other treatments for stress urinary incontinence .","['stress urinary incontinence']","['surgery']"
"In women with primary infertility all pregnancies achieved by either partner or donor intrauterine insemination carried to birth of a fetus ( > 20 weeks ) were identified .","['infertility']","['intrauterine insemination']"
"Forty-four patients in the partner intrauterine insemination group and 37 in the donor insemination group were identified as having primary infertility .","['infertility']","['intrauterine insemination', 'donor insemination']"
"Because exploratory celiotomy is routinely performed on patients with gunshot wounds to the abdomen , DPL is rarely employed .","['gunshot wounds to the abdomen']","['exploratory celiotomy']"
"Thrombolytic treatment has been shown to accelerate resolution of major pulmonary embolism and lead to a rapid improvement of right-side hemodynamics .","['major pulmonary embolism']","['Thrombolytic treatment']"
"The results of our study suggest that thrombolysis may favorably affect the clinical outcome of hemodynamically stable patients with major pulmonary embolism .","['major pulmonary embolism']","['thrombolysis']"
"A 66-year-old male engineer diagnosed with malignant pleural mesothelioma 4 years previously had thoracotomy , radiotherapy , and chemotherapy .","['malignant pleural mesothelioma']","['thoracotomy , radiotherapy , and chemotherapy']"
"The authors report the postoperative magnetic resonance ( MR ) imaging findings in 36 patients with advanced Parkinson 's disease who underwent unilateral microelectrode-guided posteroventral pallidotomy .","[""advanced Parkinson 's disease""]","['unilateral microelectrode-guided posteroventral pallidotomy']"
"The efficiency of testicular sperm retrieval by testicular fine needle aspiration ( TEFNA ) was compared with open biopsy and testicular sperm extraction ( TESE ) , in 37 rigorously selected patients with non-obstructive azoospermia .","['non-obstructive azoospermia']","['testicular sperm retrieval by testicular fine needle aspiration ( TEFNA )', 'open biopsy and testicular sperm extraction ( TESE )']"
"The treatment of diabetes 2 by the classic oral antidiabetic drugs ( sulfamides and biguanides ) is completed by intestinal glycosidases inhibitors and thiazolidendiones .","['diabetes 2']","['classic oral antidiabetic drugs ( sulfamides and biguanides )', 'intestinal glycosidases inhibitors', 'thiazolidendiones']"
"Calcium antagonists have been used for treatment of cardiovascular diseases for more than 25 years .","['cardiovascular diseases']","['Calcium antagonists']"
"In addition , well-conducted studies using verapamil and diltiazem have suggested that these calcium antagonists may even improve cardiovascular mortality and morbidity of the hypertensive patient .","['cardiovascular mortality and morbidity']","['verapamil', 'diltiazem', 'calcium antagonists']"
"Sumatriptan and other selective serotonin agonists represent a major breakthrough in acute migraine treatment .","['acute migraine']","['Sumatriptan', 'serotonin agonists']"
"Control of post-haemorrhoidectomy bleeding with a Foley catheter and a pack .","['post-haemorrhoidectomy bleeding']","['a Foley catheter and a pack']"
"Behavior of the tetanus patient subjected to resuscitation treatment .","['tetanus']","['resuscitation treatment']"
"Long term results in the 300 most grave cases out of 4000 hyperthyroid patients treated with iodine I-131 at the center of Ancona .","['hyperthyroid patients']","['iodine I-131']"
"Prolonged cortisone therapy in treatment of allergic diseases .","['allergic diseases']","['Prolonged cortisone therapy']"
